name,color,Inflow,Outflow,Netflow
Argentina,#1f77b4,1537850,576467,961383
Belarus,#aec7e8,1139891,1746890,-606999
Canada,#ff7f0e,5555024,1255438,4299586
China,#ffbb78,214306,5814587,-5600281
France,#2ca02c,6278721,1766731,4511990
Germany,#98df8a,11134583,3602196,7532387
India,#d62728,6235774,9516831,-3281057
Indonesia,#ff9896,149741,1837063,-1687322
Italy,#9467bd,2122478,3136335,-1013857
Kazakhstan,#c5b0d5,2835254,3382369,-547115
Pakistan,#1f77b4,2640929,3812237,-1171308
Poland,#aec7e8,822340,5147176,-4324836
Russian Federation,#ff7f0e,12051167,10375787,1675380
Ukraine,#ffbb78,5206456,5915970,-709514
United Kingdom,#2ca02c,4891311,4061775,829536
United States,#98df8a,34814064,2182911,32631153
Australia,#d62728,4027479,461581,3565898
Spain,#ff9896,1752868,1110891,641977
Bangladesh,#9467bd,965907,4987708,-4021801
Hong Kong China,#c5b0d5,2668133,726326,1941807
Mexico,#1f77b4,499232,9550629,-9051397
Portugal,#aec7e8,634970,1337442,-702472
Turkey,#ff7f0e,1260174,3001376,-1741202
Uzbekistan,#ffbb78,1363986,1665469,-301483
Egypt Arab Rep.,#2ca02c,162444,2267586,-2105142
Israel,#98df8a,2254128,712025,1542103
Korea Rep.,#d62728,568054,1896752,-1328698
Philippines,#ff9896,322483,3083240,-2760757
Saudi Arabia,#9467bd,5130955,213383,4917572
Cote d'Ivoire,#c5b0d5,2206780,549081,1657699
Japan,#1f77b4,1682560,870198,812362
Malaysia,#aec7e8,1503266,1155210,348056
Netherlands,#ff7f0e,1585420,774792,810628
Serbia and Montenegro,#ffbb78,363914,1922359,-1558445
United Arab Emirates,#2ca02c,2285611,72970,2212641
West Bank and Gaza,#98df8a,1407615,965871,441744
