name,color,Inflow,Outflow,Netflow
Argentina,#1f77b4,2601166,156239,2444927
Belarus,#aec7e8,1066892,1949797,-882905
Canada,#ff7f0e,2766294,1131725,1634569
China,#ffbb78,245658,4803240,-4557582
France,#2ca02c,3507203,1200569,2306634
Germany,#98df8a,4395631,2734098,1661533
India,#d62728,9410516,9081881,328635
Indonesia,#ff9896,1859454,311239,1548215
Italy,#9467bd,460447,4504270,-4043823
Kazakhstan,#c5b0d5,2164095,1328342,835753
Pakistan,#1f77b4,6350272,8844720,-2494448
Poland,#aec7e8,2424857,5685110,-3260253
Russian Federation,#ff7f0e,6159132,8410423,-2251291
Ukraine,#ffbb78,4031769,6267828,-2236059
United Kingdom,#2ca02c,1717562,3507461,-1789899
United States,#98df8a,10825585,978249,9847336
