name,color,Inflow,Outflow,Netflow
Argentina,#1f77b4,1894028,315269,1578759
Belarus,#aec7e8,1296667,2319593,-1022926
Canada,#ff7f0e,3810577,1211849,2598728
China,#ffbb78,54670,4174988,-4120318
France,#2ca02c,5890619,1423049,4467570
Germany,#98df8a,8420742,2774441,5646301
India,#d62728,8845453,7582096,1263357
Indonesia,#ff9896,736452,489804,246648
Italy,#9467bd,1109568,4510364,-3400796
Kazakhstan,#c5b0d5,3315736,2059098,1256638
Pakistan,#1f77b4,4098390,3970210,128180
Poland,#aec7e8,1544757,4800381,-3255624
Russian Federation,#ff7f0e,8248485,11682097,-3433612
Ukraine,#ffbb78,6115984,6368129,-252145
United Kingdom,#2ca02c,3439333,4154492,-715159
United States,#98df8a,16364414,1635115,14729299
Australia,#d62728,2896436,222632,2673804
Spain,#ff9896,609350,1900957,-1291607
Bangladesh,#9467bd,804505,5047223,-4242718
Hong Kong China,#c5b0d5,2060644,251622,1809022
Mexico,#1f77b4,269361,2579330,-2309969
Portugal,#aec7e8,265521,1872021,-1606500
Turkey,#ff7f0e,780600,2392038,-1611438
Uzbekistan,#ffbb78,1447997,730437,717560
