name,color,Inflow,Outflow,Netflow
Argentina,#1f77b4,1637726,437051,1200675
Belarus,#aec7e8,1631177,2529435,-898258
Canada,#ff7f0e,4497519,1143607,3353912
China,#ffbb78,90553,4461334,-4370781
France,#2ca02c,5897247,1410593,4486654
Germany,#98df8a,8914921,3165616,5749305
India,#d62728,7382060,8176592,-794532
Indonesia,#ff9896,463465,1083474,-620009
Italy,#9467bd,1428977,3788416,-2359439
Kazakhstan,#c5b0d5,3595914,2789104,806810
Pakistan,#1f77b4,3289920,3480650,-190730
Poland,#aec7e8,1127757,4193462,-3065705
Russian Federation,#ff7f0e,10572589,13244244,-2671655
Ukraine,#ffbb78,6905414,7178761,-273347
United Kingdom,#2ca02c,3791231,4231146,-439915
United States,#98df8a,23251023,1781009,21470014
Australia,#d62728,3581365,302881,3278484
Spain,#ff9896,829702,1583488,-753786
Bangladesh,#9467bd,881518,5068368,-4186850
Hong Kong China,#c5b0d5,2208363,426096,1782267
Mexico,#1f77b4,344616,4744465,-4399849
Portugal,#aec7e8,435775,1780764,-1344989
Turkey,#ff7f0e,1119907,2508368,-1388461
Uzbekistan,#ffbb78,1673576,1148857,524719
Egypt Arab Rep.,#2ca02c,173687,1908373,-1734686
Israel,#98df8a,1632687,514295,1118392
Korea Rep.,#d62728,571800,1579145,-1007345
Philippines,#ff9896,136170,2048870,-1912700
Saudi Arabia,#9467bd,4742980,159778,4583202
